pointgeom,helper,osm_id,lat,vertex_id,lon
POINT (-1.1870798 52.9077389),false,3726792261,52.9077389,499,-1.1870798
POINT (-1.1855894 52.9037825),false,323233148,52.9037825,500,-1.1855894
POINT (-1.1911649 52.9070893),false,1190214636,52.9070893,501,-1.1911649
POINT (-1.1683676 52.9101706),false,8328201070,52.9101706,502,-1.1683676
POINT (-1.1946233 52.907643),false,2629208344,52.907643,503,-1.1946233
POINT (-1.1900222 52.9047537),false,3726792252,52.9047537,504,-1.1900222
POINT (-1.1757445 52.913475),false,2309972231,52.913475,505,-1.1757445
POINT (-1.1962743 52.9084604),false,2629208613,52.9084604,506,-1.1962743
POINT (-1.1792936 52.9061546),false,323223880,52.9061546,507,-1.1792936
POINT (-1.1806678 52.8973734),false,2904677864,52.8973734,508,-1.1806678
POINT (-1.1788159 52.9080661),false,323223648,52.9080661,509,-1.1788159
POINT (-1.1828626 52.900268),false,447804850,52.900268,510,-1.1828626
POINT (-1.1641748 52.9111508),false,3386444086,52.9111508,511,-1.1641748
POINT (-1.1669357 52.9197946),false,2611676469,52.9197946,512,-1.1669357
POINT (-1.1921173 52.9056158),false,322860767,52.9056158,513,-1.1921173
POINT (-1.1797535 52.8967316),false,8328260843,52.8967316,514,-1.1797535
POINT (-1.1716092 52.8984684),false,323235954,52.8984684,515,-1.1716092
POINT (-1.1946774 52.8914414),false,8475953316,52.8914414,516,-1.1946774
POINT (-1.187771 52.8976329),false,323238166,52.8976329,517,-1.187771
POINT (-1.1677105 52.9205975),false,1246283798,52.9205975,518,-1.1677105
POINT (-1.193378 52.9045366),false,322861962,52.9045366,519,-1.193378
POINT (-1.1875981 52.9070514),false,3539246362,52.9070514,520,-1.1875981
POINT (-1.197215 52.904055),false,322861182,52.904055,521,-1.197215
POINT (-1.2096086 52.8899521),false,3260249256,52.8899521,522,-1.2096086
POINT (-1.1799393 52.9027781),false,2701890518,52.9027781,523,-1.1799393
POINT (-1.168978 52.9069176),false,2667386734,52.9069176,524,-1.168978
POINT (-1.1851577 52.9090667),false,3201874782,52.9090667,525,-1.1851577
POINT (-1.1682606 52.902314),false,324245723,52.902314,526,-1.1682606
POINT (-1.1759313 52.8989934),false,323235817,52.8989934,527,-1.1759313
POINT (-1.1901099 52.904245),false,771241741,52.904245,528,-1.1901099
POINT (-1.1765138 52.916007),false,3559573559,52.916007,529,-1.1765138
POINT (-1.1880192 52.9072842),false,3441389250,52.9072842,530,-1.1880192
POINT (-1.1803693 52.9046123),false,323224765,52.9046123,531,-1.1803693
POINT (-1.1772541 52.9019331),false,2754988510,52.9019331,532,-1.1772541
POINT (-1.1801921 52.9174857),false,322847140,52.9174857,533,-1.1801921
POINT (-1.1891598 52.9020826),false,323232617,52.9020826,534,-1.1891598
POINT (-1.1906708 52.9046964),false,6695807390,52.9046964,535,-1.1906708
POINT (-1.1831271 52.8998947),false,2316902852,52.8998947,536,-1.1831271
POINT (-1.1929106 52.9042513),false,322861996,52.9042513,537,-1.1929106
POINT (-1.1761337 52.912543),false,323202689,52.912543,538,-1.1761337
POINT (-1.1821921 52.900365),false,447805021,52.900365,539,-1.1821921
POINT (-1.1823453 52.8968002),false,6501793849,52.8968002,540,-1.1823453
POINT (-1.1667708 52.920013),false,27259265,52.920013,541,-1.1667708
POINT (-1.1853255 52.9093919),false,6695780889,52.9093919,542,-1.1853255
POINT (-1.1957246 52.8958059),false,3714010426,52.8958059,543,-1.1957246
POINT (-1.1795767 52.9040424),false,2309942284,52.9040424,544,-1.1795767
POINT (-1.1914793 52.9009688),false,1191222707,52.9009688,545,-1.1914793
POINT (-1.1838541 52.9076815),false,447797967,52.9076815,546,-1.1838541
POINT (-1.1668225 52.9110741),false,2613672249,52.9110741,547,-1.1668225
POINT (-1.164898 52.9189293),false,448021795,52.9189293,548,-1.164898
POINT (-1.1758839 52.9024495),false,725320084,52.9024495,549,-1.1758839
POINT (-1.1739846 52.8963713),false,8836074498,52.8963713,550,-1.1739846
POINT (-1.1779196 52.9023247),false,2701870334,52.9023247,551,-1.1779196
POINT (-1.1669704 52.9066949),false,4212655683,52.9066949,552,-1.1669704
POINT (-1.1923422 52.9048127),false,322862065,52.9048127,553,-1.1923422
POINT (-1.1701943 52.9115933),false,3569891122,52.9115933,554,-1.1701943
POINT (-1.1710602 52.9042258),false,2666126101,52.9042258,555,-1.1710602
POINT (-1.1665068 52.9197882),false,849796077,52.9197882,556,-1.1665068
POINT (-1.1947965 52.9039472),false,307878736,52.9039472,557,-1.1947965
